1,ableiges,mairie.ableiges95@wanadoo.fr
2,aincourt,mairie.aincourt@wanadoo.fr
3,ambleville,mairie.ambleville@wanadoo.fr
4,amenucourt,mairie.amenucourt@wanadoo.fr
5,andilly,mairie.andilly@wanadoo.fr
6,argenteuil,christian.bournery@ville-argenteuil.fr
7,arnouville les gonesse,webmaster@villedarnouville.com
8,arronville,arronville@wanadoo.fr
9,arthies,mairie-arthies-95@wanadoo.fr
10,asnieres sur oise,herve.pellin@ville-asnieres-sur-oise.fr
11,attainville,mairie@attainville.fr
12,auvers sur oise,communication@auvers-sur-oise.com
13,avernes,mairie.avernes@orange.fr
14,baillet en france,info@baillet-en-france.fr
15,banthelu,mairie.banthelu@wanadoo.fr
16,beauchamp,accueil-mairie@ville-beauchamp.fr
17,beaumont sur oise,beaumont.sg@wanadoo.fr
18,bellefontaine,mairiebellefontaine2@wanadoo.fr
19,belloy en france,secretariat@mairie-belloy-en-france.fr
20,bernes sur oise,mairiebernes@wanadoo.fr
21,berville,mairie.de.berville@wanadoo.fr
22,bessancourt,melody.quesnel@ville-bessancourt.fr
23,bethemont la foret,mairie.bethemont-laforet@wanadoo.fr
24,bezons,courrier@mairie-bezons.fr
25,boisemont,commune.boisemont@wanadoo.fr
26,boissy l aillerie,mairie.boissy-laillerie@wanadoo.fr
27,bonneuil en france,bonneuil-en-france95@orange.fr
28,bouffemont,info@ville-bouffemont.fr
29,bouqueval,mairiebouqueval@wanadoo.fr
30,bray et lu,mairie.brayetlu@wanadoo.fr
31,breancon,mairie.breancon@wanadoo.fr
32,brignancourt,brignancourt@wanadoo.fr
33,bruyeres sur oise,mairie.bruyeres.sur.oise@wanadoo.fr
34,buhy,mairie.buhy@wanadoo.fr
35,butry sur oise,mairiedebutrysuroise@wanadoo.fr
36,cergy,contact@ville-cergy.fr
37,champagne sur oise,cjacqueline@villedechampagne.fr
38,charmont,mairie.charmont@wanadoo.fr
39,chars,mairie.chars@wanadoo.fr
40,chatenay en france,"<td>Adresse mairie de CHATENAY-EN-FRANCE</td><td>10 rue de l'Eglise - 95190 - CHATENAY-EN-FRANCE</td><td>Numéro de téléphone de la mairie</td><td>01 34 71 19 93</td><td>Numéro de télécopie de la mairie</td><td></td><td>Adresse Email</td><td></td><td>Site web de la Mairie:</td><td><a class=""lientxt2"" href=""""></a></td><td>Code Insee de CHATENAY-EN-FRANCE</td><td>95144</td><td>Nombre d'habitants à CHATENAY-EN-FRANCE</td><td>64 habitants</td><td>Densité des habitants au Km2</td><td> habitants</td><td>Nom des habitants (gentilé)</td><td>Francs-Chatenaisiens, Francs-Chatenaisiennes</td><td>Superficie de CHATENAY-EN-FRANCE</td><td> hectares</td><td>Altitude moyenne</td><td>160m</td><td>Longitude</td><td>2.4577779769897</td><td>Latitude</td><td>49.06555557251</td><td>Département</td><td>VAL D'OISE</td><td>Superficie du département</td><td>1246 km2</td><td>Préfecture</td><td>CERGY</td><td>Population du département</td><td>1148000</td><td>Structure intercommunale</td><td>LUZARCHES</td>"
41,chaumontel,mairie.chaumontel@wanadoo.fr
42,chaussy,mairie.chaussy@wanadoo.fr
43,chauvry,mairie.de.chauvry@wanadoo.fr
44,chennevieres les louvres,mairie.chennevieres@wanadoo.fr
45,cherence,mairie.cherence@wanadoo.fr
46,clery en vexin,commune-de-clery@wanadoo.fr
47,commeny,mairiecommeny@wanadoo.fr
48,condecourt,mairie.condecourt@wanadoo.fr
49,cormeilles en parisis,contact@ville-cormeilles95.fr
50,cormeilles en vexin,mairie-cormeillesenvexin@wanadoo.fr
51,courcelles sur viosne,mairie-courcellessurviosne95@wanadoo.fr
52,courdimanche,communication@ville-courdimanche.fr
53,deuil la barre,accueil@mairie-deuillabarre.fr
54,domont,mairiedomont@magic.fr
55,eaubonne,information@eaubonne.fr
56,ecouen,contact@ecouen.fr
57,enghien les bains,direction.generale@enghien95.fr
58,ennery,mairie@ennery.fr
59,epiais les louvres,mairieepiais-leslouvres@wanadoo.fr
60,epiais rhus,mairie.epiais-rhus@wanadoo.fr
61,epinay champlatreux,mairie.ep.champlatreux@wanadoo.fr
62,eragny sur oise,bureauetconseil@eragny.fr
63,ermont,mairie@ville-ermont.fr
64,ezanville,secret.mairie@ezanville.fr
65,fontenay en parisis,mairiefontenay@roissy-online.com
66,fosses,contact@ville-fosses95.fr
67,franconville,Communication@ville-franconville.fr
68,fremainville,fremainville-mairie@wanadoo.fr
69,fremecourt,mairiefremecourt@orange.fr
70,frepillon,mairie@frepillon.fr
71,frouville,mairie-frouville95@wanadoo.fr
72,gadancourt,mairie-gadancourt@orange.fr
73,garges les gonesse,communication@villedegarges.com
74,genainville,mairie-genainville@wanadoo.fr
75,genicourt,mairie.genicourt@wanadoo.fr
76,gonesse,contact@villaeroport.org
77,goussainville,maire@ville-goussainville.fr
78,gouzangrez,mairiedegouzangrez@orange.fr
79,grisy les platres,"<td>Adresse mairie de GRISY-LES-PLATRES</td><td>10 rue Robert Machy - 95810 - GRISY-LES-PLATRES</td><td>Numéro de téléphone de la mairie</td><td>01 34 66 62 69</td><td>Numéro de télécopie de la mairie</td><td>01 34 66 43 61</td><td>Adresse Email</td><td></td><td>Site web de la Mairie:</td><td><a class=""lientxt2"" href=""""></a></td><td>Code Insee de GRISY-LES-PLATRES</td><td>95287</td><td>Nombre d'habitants à GRISY-LES-PLATRES</td><td>599 habitants</td><td>Densité des habitants au Km2</td><td> habitants</td><td>Nom des habitants (gentilé)</td><td>Grisyliens, Grisyliennes</td><td>Superficie de GRISY-LES-PLATRES</td><td> hectares</td><td>Altitude moyenne</td><td>140m</td><td>Longitude</td><td>2.0522220134735</td><td>Latitude</td><td>49.130279541016</td><td>Département</td><td>VAL D'OISE</td><td>Superficie du département</td><td>1246 km2</td><td>Préfecture</td><td>CERGY</td><td>Population du département</td><td>1148000</td><td>Structure intercommunale</td><td>MARINES</td>"
80,groslay,assistante_du_maire@mairie-groslay.fr
81,guiry en vexin,mairie.guiry-en-vexin@wanadoo.fr
82,haravilliers,commune.haravilliers@orange.fr
83,haute isle,mairie-hauteisle@wanadoo.fr
84,hedouville,mairie-hedouville@wanadoo.fr
85,herblay,mairie@herblay.fr
86,herouville,mairie@herouville-en-vexin.net
87,hodent,mairie.hodent@orange.fr
88,jagny sous bois,mairie.jagny-sous-bois@wanadoo.fr
89,jouy le moutier,secretariatgeneral@jouylemoutier.fr
90,labbeville,mairie@labbeville.fr
91,la chapelle en vexin,la-chapelle-en-vexin@wanadoo.fr
92,la frette sur seine,mairie@ville-la-frette95.fr
